magnitude,cdi,mmi,tsunami,sig,nst,dmin,gap,depth,latitude,longitude
7.4,0,7,0,842,0,0,0,150,-5.591,149.568
6.8,0,7,0,711,0,0,0,87.2,-16.66,-72.662
6.6,0,7,0,670,0,0,0,15,30.512,79.403
6.9,0,6,0,732,0,0,0,33,51.587,-177.668
6.9,0,5,0,732,0,0,0,56.6,52.056,159.52
7.1,0,6,0,776,0,0,0,33,5.397,121.937
6.6,0,7,0,670,0,0,0,33,28.343,57.193
7.3,0,7,0,820,0,0,0,90.1,-12.853,166.697
6.6,0,6,0,670,0,0,0,67.2,52.886,-169.123
7,0,7,0,754,0,0,0,114.1,-4.596,153.235
6.8,0,5,0,711,0,0,0,144.3,-21.632,-176.376
7.7,0,7,0,912,0,0,0,33,-2.071,124.891
7,0,7,0,754,0,0,0,33,-6.92,128.946
6.7,0,6,0,691,0,0,0,33,-6.954,129.022
6.6,0,5,0,670,0,0,0,151.6,-8.194,112.413
6.6,0,6,0,670,0,0,0,27,-29.45,-71.715
6.8,0,5,0,711,0,0,0,50,5.41,126.764
7.2,0,7,0,798,0,0,0,33,-0.593,-80.393
6.7,0,6,0,691,0,0,0,33,-2.693,138.901
7,0,7,0,754,0,0,0,10,-2.961,141.926
7,0,7,0,754,0,0,0,110.2,-11.04,166.16
6.6,0,6,0,670,0,0,0,33,37.106,70.11
6.6,0,8,0,670,0,0,0,24,-17.731,-65.431
6.7,0,6,0,691,0,0,0,33,0.207,119.584
6.6,0,6,0,670,0,0,0,61.4,-5.147,151.714
7.5,0,5,0,865,0,0,0,33,22.306,125.308
6.6,0,5,0,670,0,0,0,164.6,-8.148,-74.238
7,0,6,0,754,0,0,0,55.7,-0.544,99.261
6.6,0,8,0,670,0,0,0,9,30.154,57.605
7.1,0,7,0,776,0,0,0,42,-23.913,-70.207
6.7,0,6,0,691,0,0,0,23.4,-15.848,-179.376
6.6,0,7,0,670,0,0,0,34.8,-30.985,-71.41
6.6,0,6,0,670,0,0,0,33,14.374,-91.473
7.2,0,6,0,798,0,0,0,179.3,-5.495,147.867
7.8,0,7,0,936,0,0,0,33,54.841,162.035
7,0,6,0,754,0,0,0,24,1.241,122.536
6.6,0,7,0,670,0,0,0,33,37.57,20.656
7,0,6,0,754,0,0,0,123.1,-15.145,167.375
6.5,0,4,0,650,0,0,0,176.4,13.849,-88.808
7.5,0,7,0,865,0,0,0,33,35.069,87.325
7.2,0,7,0,798,0,0,0,112,-4.368,-76.681
7.1,0,7,0,776,0,0,0,58,-30.933,-71.22
7.8,0,7,0,936,0,0,0,167.3,-22.101,-176.772
6.5,0,5,0,650,0,0,0,105.6,9.79,125.779
6.8,0,5,0,711,0,0,0,198.7,3.849,-75.749
6.6,0,6,0,670,0,0,0,22.8,-3.562,144.362
6.9,0,6,0,732,0,0,0,33,16.333,-98.216
7,0,8,0,754,0,0,0,19.9,10.598,-63.486
6.8,0,6,0,711,0,0,0,19,-30.058,-71.872
6.5,0,6,0,650,0,0,0,70,18.684,-101.604
6.8,0,6,0,711,0,0,0,57,-20.438,169.287
6.5,0,4,0,650,0,0,0,196,36.411,70.945
7.3,0,9,0,820,0,0,0,10,33.825,59.809
6.5,0,6,0,650,0,0,0,100.8,13.986,144.901
6.7,0,7,0,691,0,0,0,5,11.112,-60.892
7.7,0,6,0,912,0,0,0,33,-12.584,166.676
6.5,0,6,0,650,0,0,0,69.1,-6.485,147.408
6.9,0,5,0,732,0,0,0,10,7.742,127.647
7.1,0,6,0,776,0,0,0,33,29.976,68.208
6.5,0,8,0,650,0,0,0,10,37.661,57.291
7.2,0,7,0,798,0,0,0,33,18.219,-102.756
6.5,0,4,0,650,0,0,0,226.5,43.207,138.92
6.7,0,6,0,691,0,0,0,49.2,31.789,131.314
6.9,0,7,0,732,0,0,0,33,35.345,78.133
7.7,0,7,0,912,0,0,0,33,-14.993,-75.675
6.7,0,7,0,691,0,0,0,22,31.885,131.468
6.6,0,7,0,670,0,0,0,10,30.568,131.093
6.8,0,6,0,711,0,0,0,24,-7.133,155.568
6.8,0,6,0,711,0,0,0,33,34.556,32.126
6.6,0,6,0,670,0,0,0,33,9.454,126.334
6.6,0,6,0,670,0,0,0,33,9.463,126.284
6.8,0,6,0,711,0,0,0,20,21.898,121.498
6.9,0,6,0,732,0,0,0,33,-10.769,161.445
7,0,6,0,754,0,0,0,33,1,120.45
6.6,0,6,0,670,0,0,0,33,1.016,120.254
6.8,0,6,0,711,0,0,0,18.3,17.6,-100.965
7.9,0,4,0,960,0,0,0,587.3,-7.137,122.589
7.1,0,6,0,776,0,0,0,33,12.614,125.154
7.3,0,7,0,820,0,0,0,26.3,51.478,-176.847
7.9,0,7,0,960,0,0,0,33,51.564,-177.632
6.7,0,4,0,691,0,0,0,200.1,-13.481,167.13
7.2,0,6,0,798,0,0,0,44,-6.518,154.999
6.6,0,7,0,670,0,0,0,49.5,-23.944,-70.093
6.7,0,5,0,691,0,0,0,164.4,-14.705,167.297
6.7,0,6,0,691,0,0,0,33,11.905,-86.772
6.6,0,6,0,670,0,0,0,33,11.657,-86.856
7.1,0,7,0,776,0,0,0,21.1,15.978,-98.07
7.5,0,6,0,865,0,0,0,10,-9.593,-79.587
6.5,0,6,0,650,0,0,0,31.9,-0.917,136.225
6.5,0,6,0,650,0,0,0,19.2,-0.567,135.84
8.09,0,8,0,1007,0,0,0,33,-0.891,136.952
6.7,0,4,0,691,0,0,0,40.8,37.353,142.38
7.2,0,6,0,798,0,0,0,42.6,45.324,149.892
6.6,0,10,0,670,0,0,0,11.1,27.291,100.276
6.6,0,7,0,670,0,0,0,33,53.826,159.586
7.9,0,8,0,960,0,0,0,24,0.729,119.931
7.1,0,6,0,776,0,0,0,141.9,-6.903,129.151
6.5,0,6,0,650,0,0,0,63.4,-3.703,140.233
7.9,0,6,0,960,0,0,0,33,44.663,149.3
7.2,0,9,0,798,0,0,0,10,28.826,34.799
6.7,0,7,0,691,0,0,0,19.9,-28.906,-71.417
7.2,0,6,0,798,0,0,0,159.3,16.84,-93.469
6.8,0,6,0,711,0,0,0,19.7,28.094,130.148
7.1,0,6,0,776,0,0,0,28.4,27.929,130.175
8,0,8,0,985,0,0,0,33,19.055,-104.205
6.8,0,7,0,711,0,0,0,33,-2.045,101.436
6.5,0,7,0,650,0,0,0,16.7,-2.778,-77.851
7,0,7,0,754,0,0,0,24.4,-2.75,-77.881
6.5,0,5,0,650,0,0,0,59.9,-10.68,-78.581
7.4,0,7,0,842,0,0,0,23,16.779,-98.597
6.6,0,5,0,670,0,0,0,12.2,26.092,-110.284
6.6,0,6,0,670,0,0,0,119.6,5.139,-75.577
7.2,0,6,0,798,0,0,0,33,-5.771,154.347
6.6,0,4,0,670,0,0,0,18.7,-5.429,153.773
7.7,0,6,0,912,0,0,0,30.1,-5.799,154.178
6.7,0,6,0,691,0,0,0,127.9,-4.836,151.515
8,0,8,0,985,0,0,0,45.6,-23.34,-70.294
6.8,0,8,0,711,0,0,0,12.5,21.966,99.196
6.6,0,5,0,670,0,0,0,139.4,-19.544,169.287
6.5,0,7,0,650,0,0,0,14.2,38.401,22.283
7.1,0,9,0,776,0,0,0,11,52.629,142.827
7.7,0,4,0,912,0,0,0,20.2,-23.008,169.9
6.9,0,6,0,732,0,0,0,11.2,-8.378,125.127
6.6,0,9,0,670,0,0,0,14,40.149,21.695
7.1,0,7,0,776,0,0,0,16,12.626,125.297
