magnitude,cdi,mmi,tsunami,sig,nst,dmin,gap,depth,latitude,longitude
7.8,9,7,1,1111,0,0.621,60,28,55.1079,-158.477
7,6,7,1,820,0,1.671,18,73,-7.847,147.755
6.6,4,2,0,684,0,1.458,14,533.76,-5.6368,110.678
7.4,8,8,1,1494,0,0.151,30,20,15.9163,-95.9533
7.4,7,7,1,873,0,4.035,23,10,-33.2938,-177.838
6.6,5,4,1,734,0,2.015,18,165,28.9386,128.262
6.8,6,6,1,835,0,1.164,21,112,-23.2966,-68.4204
6.5,7,8,0,1320,27,0.357,55.79,2.7,38.1689,-117.85
6.6,4,6,1,671,0,3.403,12,107,-12.0662,166.648
6.8,4,6,0,738,0,1.921,16,96,-6.7762,129.785
6.5,7,6,0,678,0,1.293,19,10,34.1818,25.7101
6.5,8,8,0,1410,0,0.885,31,12.06,44.4646,-115.118
7.5,6,5,1,879,0,4.109,12,57.8,48.9638,157.695
7,5,6,1,770,0,4.501,25,143,45.6161,148.959
7.7,9,6,1,1812,0,1.657,26,14.86,19.4193,-78.756
6.7,8,9,0,1247,0,0.87,49,10,38.4312,39.0609
6.8,9,7,1,825,0,0.546,39,18,6.6969,125.174
7.1,6,6,1,799,0,1.271,11,33,1.6213,126.416
6.5,0,2,0,650,0,4.765,25,577,-21.9449,-179.511
6.6,4,4,1,673,0,5.086,48,10,-18.5747,-175.272
6.5,9,7,1,733,0,0.428,19,10,6.9098,125.178
6.6,9,7,1,780,0,0.646,24,15,6.7567,125.008
6.7,7,6,1,844,0,1.269,98,11,-35.4758,-73.163
6.5,7,7,1,656,0,3.909,15,12.26,-3.4528,128.37
6.6,2,3,1,671,0,4.121,19,591,-20.3641,-178.57
6.6,0,4,1,670,0,12.896,19,16,-60.2152,-26.5801
6.9,4,6,0,875,0,2.839,23,49,-7.2822,104.791
6.8,6,6,1,947,0,0.817,35,25,-34.2364,-72.3102
6.6,0,4,1,670,0,6.024,30,181,-16.1985,167.998
7.2,7,7,1,809,0,1.504,38,18.98,-0.5858,128.034
6.6,5,5,0,791,0,2.978,32,10,-18.2242,120.358
6.9,7,5,0,747,0,1.205,21,35,0.5126,126.189
7.1,9,9,0,1646,77,0.04616,43,8,35.7695,-117.599
7.3,4,6,1,952,0,2.629,16,212,-6.4078,129.169
7.3,8,6,1,830,0,1.402,11,46,-30.6441,-178.1
6.6,7,6,1,886,0,1.193,22,57.92,13.1994,-89.3056
8,9,8,1,1890,0,3.18,17,122.57,-5.8119,-75.2697
7.6,7,7,1,929,0,0.453,16,10,-4.051,152.597
7.1,7,6,1,826,0,2.514,16,146,-6.9746,146.449
6.8,5,6,1,717,0,0.791,28,15.46,-1.8146,122.58
6.5,0,5,1,650,0,7.568,18,38,-58.6262,-25.304
7,7,4,1,869,0,2.501,42,267,-14.7131,-70.1546
7.5,7,7,1,1145,0,2.045,15,145,-2.1862,-77.0505
6.7,6,6,1,909,0,0.289,43,66,14.6802,-92.4527
6.7,0,3,0,691,0,7.527,17,13,-43.1219,42.3568
6.7,8,8,1,1600,0,0.173,22,63,-30.0404,-71.3815
6.6,5,4,1,671,0,7.818,18,35,-13.336,166.875
6.6,2,4,1,672,0,1.596,33,43.21,2.258,126.758
6.8,3,3,0,715,0,1.181,16,570.41,-8.144,-71.587
7,5,5,1,803,0,1.769,21,60.21,5.8983,126.921
7.3,3,7,1,822,0,4.126,23,16.56,55.0999,164.699
7.1,0,5,1,776,0,7.043,20,133,-58.5446,-26.3856
6.6,0,4,1,670,0,2.679,31,10,-22.0629,169.733
7.5,3,6,1,871,0,2.405,18,10,-21.9496,169.427
7.1,8,8,1,1790,0,0,0,46.7,61.3464,-149.955
6.8,0,3,1,711,0,2.879,39,540,-17.8735,-178.927
6.7,3,4,1,693,0,7.853,19,10,71.6312,-11.2431
6.8,8,7,0,954,0,2.268,15,14,37.5203,20.5565
6.5,2,4,0,655,0,1.692,68,10,49.297,-129.724
